utterance_id,audio_path,reference_text,word_index,word,expected_ending,start_ms,end_ms,speaker,source,written_ending,final_phones
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,16,وَمُسْتَوَيَاتُ,fatha,12601.8,13714.2,asc,arabic_speech_corpus,damma,i0 Alr~uTuwbapi fiy Alo<irotifaAEi
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,17,الرُّطُوبَةِ,fatha,13714.2,14885.1,asc,arabic_speech_corpus,kasra,Alo<irotifaAEi TawaAla ha*aA Aloqarono
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,20,طَوَالَ,none,6287.0,11910.0,asc,arabic_speech_corpus,fatha,AloHaraArapi wamusotawayaAtu there's a dhamma sound here around the i0- and i sound around the u0 The i0 sounds like iu
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,21,هَطحَا,none,11910.0,14674.2,asc,arabic_speech_corpus,fatha,fiy Alo<irotifaAEi TawaAla ha*aA
asc_main_ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0003.wav,مِمَّا قَدْ يُؤَدِّي إِلَى تَرَاجُعِ مَسَاحَاتِ الْأَنْهَارِ الجَّلِيدِيَّةِ وَانْتِشَارِ التَّصَحُّرِ,0,مِمَّا,none,87.3,671.8,asc,arabic_speech_corpus,fatha,q A' mim~aA qado
asc_main_ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0003.wav,مِمَّا قَدْ يُؤَدِّي إِلَى تَرَاجُعِ مَسَاحَاتِ الْأَنْهَارِ الجَّلِيدِيَّةِ وَانْتِشَارِ التَّصَحُّرِ,1,قَدْ,none,671.8,930.2,asc,arabic_speech_corpus,none,d y qado yu&ad~iy
asc_main_ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0003.wav,مِمَّا قَدْ يُؤَدِّي إِلَى تَرَاجُعِ مَسَاحَاتِ الْأَنْهَارِ الجَّلِيدِيَّةِ وَانْتِشَارِ التَّصَحُّرِ,3,إِلَى,none,1699.7,2233.3,asc,arabic_speech_corpus,fatha,r aa' <ilaY taraAjuEi
asc_main_ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0003.wav,مِمَّا قَدْ يُؤَدِّي إِلَى تَرَاجُعِ مَسَاحَاتِ الْأَنْهَارِ الجَّلِيدِيَّةِ وَانْتِشَارِ التَّصَحُّرِ,4,تَرَاجُعِ,none,2233.3,2973.3,asc,arabic_speech_corpus,kasra,aa H taraAjuEi masaAHaAti
asc_main_ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0003.wav,مِمَّا قَدْ يُؤَدِّي إِلَى تَرَاجُعِ مَسَاحَاتِ الْأَنْهَارِ الجَّلِيدِيَّةِ وَانْتِشَارِ التَّصَحُّرِ,5,مَسَاحَاتِ,fatha,2973.3,3770.0,asc,arabic_speech_corpus,kasra,n h masaAHaAti Alo>anohaAri
asc_main_ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0003.wav,مِمَّا قَدْ يُؤَدِّي إِلَى تَرَاجُعِ مَسَاحَاتِ الْأَنْهَارِ الجَّلِيدِيَّةِ وَانْتِشَارِ التَّصَحُّرِ,6,الْأَنْهَارِ,none,3770.0,4615.0,asc,arabic_speech_corpus,kasra,ii0' Alo>anohaAri Alj~aliydiy~api to double check. it's agreed that iyya sound is now ii0 + y + a rather than i0 + yy + a
asc_main_ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0003.wav,مِمَّا قَدْ يُؤَدِّي إِلَى تَرَاجُعِ مَسَاحَاتِ الْأَنْهَارِ الجَّلِيدِيَّةِ وَانْتِشَارِ التَّصَحُّرِ,7,الجَّلِيدِيَّةِ,none,4615.0,5624.6,asc,arabic_speech_corpus,kasra,"waAnoti$aAri to double check. it's agreed that iyya sound is now ii0 + y + a rather than i0 + yy + a impossible to have i0 without w after it or w without i0 before it. we need sth. in the middle tt here sounds very much like T, i think it's due to letters combination as well as the talent way of speaking - if not T then at least the t sound is definitely different from Teacher let's say"
asc_main_ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0003.wav,مِمَّا قَدْ يُؤَدِّي إِلَى تَرَاجُعِ مَسَاحَاتِ الْأَنْهَارِ الجَّلِيدِيَّةِ وَانْتِشَارِ التَّصَحُّرِ,9,التَّصَحُّرِ,none,543.2,5939.0,asc,arabic_speech_corpus,kasra,"I think we need different codes for hamza with i and u and a as they sound different to double check. it's agreed that iyya sound is now ii0 + y + a rather than i0 + yy + a impossible to have i0 without w after it or w without i0 before it. we need sth. in the middle tt here sounds very much like T, i think it's due to letters combination as well as the talent way of speaking - if not T then at least the t sound is definitely different from Teacher let's say"
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,0,وَذَكَرَ,fatha,83.6,828.6,asc,arabic_speech_corpus,fatha,a tt wa*akara Alt~aqoriyru
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,1,التَّقْرِيرُ,none,828.6,1660.0,asc,arabic_speech_corpus,damma,a Alt~aqoriyru >ana the uwa sound
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,2,أَنَ,none,1660.0,2161.0,asc,arabic_speech_corpus,fatha,aa' j u0 taraAjuEa
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,3,تَرَاجُعَ,none,2161.0,2870.0,asc,arabic_speech_corpus,fatha,aa' H taraAjuEa masaAHapi
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,4,مَسَاحَةِ,fatha,2870.0,3666.3,asc,arabic_speech_corpus,kasra,d i0 masaAHapi Alojaliydi
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,5,الْجَلِيدِ,none,3666.3,4467.4,asc,arabic_speech_corpus,kasra,yumokinu >ay~uxil~a need to take out yu sound the wa sound
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,6,يُمْكِنُ,none,4467.4,5240.0,asc,arabic_speech_corpus,damma,I0' ll a >ay~uxil~a
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,7,أَيُّخِلَّ,none,5240.0,6265.4,asc,arabic_speech_corpus,fatha,aa' t bimuEad~alaAti sound o rather than u
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,8,بِمُعَدَّلَاتِ,fatha,6265.4,7569.2,asc,arabic_speech_corpus,kasra,y bimuEad~alaAti <imodaAdaAti AlomiyaAhi
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,9,إِمْدَادَاتِ,none,7569.2,8925.9,asc,arabic_speech_corpus,kasra,a d AlomiyaAhi liEadadK
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,10,الْمِيَاهِ,none,8925.9,9536.8,asc,arabic_speech_corpus,kasra,n liEadadK mino >anohaAri
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,11,لِعَدَدٍ,fatha,9536.8,10607.4,asc,arabic_speech_corpus,tanwin_kasr,a >anohaAri |soyaA Alr~a}iysiy~api
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,12,مِنْ,fatha,10607.4,10883.8,asc,arabic_speech_corpus,none,< ii0 s Alr~a}iysiy~api
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,13,أَنْهَارِ,fatha,10883.8,11760.8,asc,arabic_speech_corpus,kasra,ll a Alr~a}iysiy~api Al~atiy
asc_main_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,14,آسْيَا,none,11760.8,12287.5,asc,arabic_speech_corpus,fatha,t a' Al~atiy tamobuEu
